Vial,Treatment,Rep,AgeBin,CourtshipLatency,CopulationLatency,CopulationDuration,Copulation,Date,Temperature,Humidity,StartTime,Bin2,Bin3,Bin4,FinishSetUp,EndTime
21,LTC,1,2,9:33,9:59,10:16,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
22,LTC,2,2,,11:08,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
23,LTC,3,2,9:54,10:50,11:09,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
24,LTC,4,2,9:31,10:39,10:55,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
25,LTP,1,3,9:40,9:46,10:11,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
26,LTP,2,3,9:44,10:12,10:31,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
27,LTP,3,3,,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
28,LTP,4,3,9:35,10:23,10:47,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
29,LTS,1,3,9:35,9:53,10:16,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
30,LTS,2,3,9:47,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
31,LTS,3,3,9:38,10:01,10:24,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
32,LTS,4,3,,10:33,11:01,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
33,LTC,1,3,9:38,10:32,10:58,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
34,LTC,2,3,10:19,10:22,10:44,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
35,LTC,3,3,9:44,10:00,10:24,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
36,LTC,4,3,9:39,9:50,10:15,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
37,LTP,1,4,10:13,10:24,10:42,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
